GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks,year_best,year_precision,event_date,Lives_total_note,Lives_total_is_minimum,Livestock_note,Livestock_is_minimum,Residential_destroyed_note,Residential_destroyed_is_minimum,Commerical_destroyed_note,Commerical_destroyed_is_minimum,Residential_damaged_note,Commerical_damaged_note,Agricultural_note,Agricultural_is_minimum,Hydropower_note,Lake_name_is_placeholder,Glacier_name_is_placeholder,Driver_GLOF_terms,Driver_GLOF_n,Mechanism_terms,Mechanism_n
410,1998,1998,9.0,3.0,Sabai Tsho/ Tam Pokhari,Sabai,GL086845E27743N,"2, 3, 4",G086832E27760N,27.742,86.845,4381,26.55445,86.91352,80.0,Observation,Moraine dammed,Y,N,15_2,11,Nepal,Koshi,Dudh Koshi,Unknown,Ice avalanche,Unknown,,17000000.0,,,,2.0,,,,,,,,,,,,,,,,,Four suspension and two wooden bridges were damaged,,,2192000.0,,"(Dwiwedi, Acharya and Simard, 2000; Mool, Bajracharya and Joshi, 2001; ICIMOD, 2011)","Dwiwedi, S.K., Acharya, M.D., Simard, R., 2000. The Tam Pokhari Glacier Lake outburst flood of 3 September 1998. Journal of Nepal Geological Society 22, 539-546. https://doi.org/10.3126/jngs.v22i0.32429; Mool, P.K., Bajracharya, S.R., Joshi, S.P., 2001. Inventory of Glaciers, Glacial Lakes and Glacial Lake Outburst Floods. ICIMOD, Kathmandu, Nepal; ICIMOD, 2011. Glacial Lakes and Glacial Lake Outburst Floods in Nepal. ICIMOD.",,,1998.0,exact,1998-09-03,,False,,False,,False,,False,,,,False,,False,False,['Ice avalanche'],1,['Unknown'],1
411,1998,1998,11.0,5.0,Kyagar,Kyagar,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450.0,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,133500000.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Carrivick and Tweed, 2016; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Lake area increased between 09/07/1998 and 10/09/1998. Most water discharged before 11/10/1998. By 10/09/1998 a peak volume before flood 133.5 x 106 m3 with a lake area 3.32km2. The only large lake outburst during winter,1998.0,exact,1998-11-05,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
412,1998,1998,,,Gangri Tsho III,Unnamed,GL090816E27896N,"2, 3, 4",G090800E27893N,27.897,90.813,4723,,,,,Moraine dammed,Y,N,15_2,12,Bhutan,Bumthang,Chamkhar Chhu,Unknown,Ice avalanche,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Komori et al., 2012; Carrivick and Tweed, 2016)","Komori, J., Koike, T., Yamanokuchi, T., Tshering, P., 2012. Glacial Lake Outburst Events in the Bhutan Himalayas. Global Environmental Research 16, 59–70; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16",,,1998.0,exact,,,False,,False,,False,,False,,,,False,,False,True,['Ice avalanche'],1,['Unknown'],1
413,1999,1999,6.0,,Unnamed,Aksay,Not mapped,,G074556E42520N,42.528,74.5405,3637,42.552627,74.483331,2255.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ala Archa,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2016)","Zaginaev, V., Ballesteros-Cánovas, J.A., Erokhin, S., Matov, E., Petrakov, D., Stoffel, M., 2016. Reconstruction of glacial lake outburst floods in northern Tien Shan: Implications for hazard assessment. Geomorphology 269, 75–84. https://doi.org/10.1016/j.geomorph.2016.06.028",,,1999.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
414,1999,1999,6.0,4.0,Takyrtor,Unnamed,Ephemeral,,G074815E42567N,42.574941,74.819452,3620,,,,,Supraglacial,N,Y,13_3,4,Kyrgyzstan,Chuy,Ysyk-Ata,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,https://www.debrisflow.ru/en/selevye-yavleniya-yugo-vostochnogo-kazakhstana/,,1999.0,exact,1999-06-04,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
415,1999,1999,7.0,,Tegermach South,Unnamed,Not mapped,,G072346E39845N,39.854499,72.350336,4020,,,,,Moraine dammed,N,N,13_3,4,Kyrgyzstan,Batken,Kadamjai,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,https://www.debrisflow.ru/en/selevye-yavleniya-yugo-vostochnogo-kazakhstana/,,1999.0,exact,,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
416,1999,1999,7.0,19.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Shangguan et al., 2017; Kingslake and Ng, 2013)","Shangguan, D., Ding, Y., Liu, S., Xie, Z., Pieczonka, T., Xu, J., Moldobekov, B., 2017. Quick Release of Internal Water Storage in a Glacier Leads to Underestimation of the Hazard Potential of Glacial Lake Outburst Floods From Lake Merzbacher in Central Tian Shan Mountains. Geophysical Research Letters 44, 9786–9795. https://doi.org/10.1002/2017GL074443; Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156",,,1999.0,exact,1999-07-19,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
417,1999,1999,8.0,6.0,Khalti,Unnamed,GL073359E36189N,"2, 3, 4",G073361E36179N,36.188,73.359,4414,36.247,73.375,2231.0,Observation,Moraine dammed,N,N,14_1,8,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Intense rainfall,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Din et al., 2014; Amin et al., 2020)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20; Amin, M., Bano, D., Hassan, S.S., Goheer, M.A., Khan, A.A., Khan, M.R., Hina, S.M., 2020. Mapping and monitoring of glacier lake outburst floods using geospatial modelling approach for Darkut valley, Pakistan. Meteorological Applications 27, e1877. https://doi.org/10.1002/met.1877",,,1999.0,exact,1999-08-06,,False,,False,,False,,False,,,,False,,False,True,['Intense rainfall'],1,['Unknown'],1
418,1999,1999,,,Unknown,Kuturgansuu,Ephemeral,,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Alamedin,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,1999.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
419,1999,1999,,,Khurdopin,Khurdopin,Ephemeral,,G075206E36338N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528",,,1999.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
420,1999,1999,8.0,11.0,Kyagar,Kyagar,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450.0,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,45780000.0,6070.0,,,,,,,,,,,,,,,,,,,,,,,25000000.0,,"(Hewitt and Liu, 2010; Carrivick and Tweed, 2016; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,The lake reformed from December 1998 and outburst occurred between 07/16/1999 and 08/17/1999. Lake peak volume before flood 45.78x106 m3 with a lake area 1.71km2.,1999.0,exact,1999-08-11,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
421,1999,1999,9.0,,Choktal-2,Unnamed,Ephemeral,,G076659E42766N,42.760958,76.66597,3870,,,,,Moraine dammed,N,N,13_3,4,Kyrgyzstan,Issyk-Kul,Issyk-Kul,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,https://www.debrisflow.ru/en/selevye-yavleniya-yugo-vostochnogo-kazakhstana/,,1999.0,exact,,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
422,2000,2000,4.0,21.0,Unknown,North Terong,Ephemeral,,G077336E35311N,35.254,77.308,4400,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Nubra,Glacier advance,Unknown,Unknown,,27300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2000.0,exact,2000-04-21,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
423,2000,2000,5.0,21.0,Chateboi,Chateboi,Ephemeral,,G073888E36780N,36.84573,73.89904,3680,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,37000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,The lake develops in early year 2000 until 21 May 2000. The peak lake volume before flood 37.11x106 m3 with a lake area 0.27km2. Drained completely,2000.0,exact,2000-05-21,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
424,2000,2000,,,Unknown,Kuturgansuu,Ephemeral,,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Alamedin,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,2000.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
425,2000,2000,6.0,11.0,Khurdopin,Khurdopin,Ephemeral,,G075438E36192N,36.344239,75.474953,3482,36.463012,74.901382,2450.0,Observation,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,186000000.0,,,,,,,,,,,,,,,,,,,,,Bridge destroyed,,,,,"(Hewitt and Liu, 2010; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Erosion of agricultural land, bridges destroyed. and local damage in Shimshal valley and Pasu village. Peak lake volume before flood 186x106 m3 with a lake area 1.87km2 by May 30, 2000. Discharged entire volume before June 26, 2000",2000.0,exact,2000-06-11,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
426,2000,2000,7.0,27.0,Unknown,Lokpar/Aling,Ephemeral,,G076211E35548N,35.497,76.271,3800,,,,,Moraine dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hushe,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Din et al., 2014; Ahmad et al., 2016)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20; Ahmad, B., Rana, A.S., Abuzar, K., Kiran, R., Mansoor, R., Kubra, S., 2016. Diagnostic Study of Heavy Downpour in 2015 Flash Floods over Chitral Area, Northern Pakistan. 12, 24.",,Very little information on this event. Previously a GLOF was reported here at Lokpar/Aling (1993) which may have the same likely cause,2000.0,exact,2000-07-27,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
427,2000,2000,7.0,27.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kingslake and Ng, 2013)","Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156",,,2000.0,exact,2000-07-27,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
428,2000,2000,9.0,,Khurdopin,Khurdopin,Ephemeral,,G075206E36338N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2000.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
429,2001,2001,5.0,,Khurdopin,Khurdopin,Ephemeral,,G075206E36338N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2001.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
430,2001,2001,7.0,28.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Glazirin, 2010)","Glazirin, G., 2010. A century of investigations on outbursts of the ice-dammed lake merzbacher (Central Tien Shan). Austrian Journal of Earth Sciences 103, 171–179.",,,2001.0,exact,2001-07-28,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
431,2001,2001,8.0,6.0,Chongbaxia Co/ Longjiu Co,Unnamed,GL089745E28211N,"2, 3, 4",G089757E28197N,28.211108,89.744989,4916,28.257,89.627,4576.0,Observation,Moraine dammed,N,N,13_8,12,China,TAR,Nian Chu,Unknown,Unknown,Unknown,,,,,15 km from the source,,,,,,,,,,,,,,,,,,,,,,,"(Yao et al., 2014; Zhang et al., 2021)","Yao, X.J., Liu, S.Y., Sun, M.P., Zhang, X.J., 2014. Study on the glacial lake outburst flood events in Tibet since the 20th century. Journal of Natural Resources 29(8), 1377–1390. http://www.jnr.ac.cn/EN/10.11849/zrzyxb.2014.08.010; Zhang, T., Wang, W., Gao, T., An, B., 2021. Simulation and Assessment of Future Glacial Lake Outburst Floods in the Poiqu River Basin, Central Himalayas. Water 13(10), 1376. https://doi.org/10.3390/w13101376",,,2001.0,exact,2001-08-06,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
432,2002,2002,,,Hassanabad,Hassanabad,Ephemeral,,G074619E36437N,36.390545,74.50831,3370,36.292162,74.609227,2030.0,Observation,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2002.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
433,2002,2002,5.0,23.0,Jialong Co,Jialong,GL085849E28212N,"2, 3, 4",G085834E28193N,28.213134,85.850819,4369,28.19297,85.92412,4075.0,Deposit,Moraine dammed,Y,Y,15_2,11,China,TAR,Poiqu,Unknown,Ice avalanche,Unknown,21000.0,100000.0,1242.0,,,,,,,,,,,,,,,,,,,,,,,,,"(Cui et al. 2010; Liu et al., 2014; Carrivick and Tweed, 2016; Nie et al., 2018)","Cui, P., Dang, C., Cheng, Z., Scott, K.M., 2010. Debris Flows Resulting From Glacial-Lake Outburst Floods in Tibet, China. Physical Geography 31, 508–527. https://doi.org/10.2747/0272-3646.31.6.508; Liu, J.-J., Cheng, Z.-L., Li, Y., 2014. The 1988 glacial lake outburst flood in Guangxieco Lake, Tibet, China. Natural Hazards and Earth System Sciences 14, 3065–3075. https://doi.org/10.5194/nhess-14-3065-2014; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Nie, Y., Liu, Q., Wang, J., Zhang, Y., Sheng, Y., Liu, S., 2018. An inventory of historical glacial lake outburst floods in the Himalayas based on remote sensing observations and geomorphological analysis. Geomorphology 308, 91–106. https://doi.org/10.1016/j.geomorph.2018.02.002",,,2002.0,exact,2002-05-23,,False,,False,,False,,False,,,,False,,False,False,['Ice avalanche'],1,['Unknown'],1
434,2002,2002,6.0,6.0,Unknown,North Terong,Ephemeral,,G077336E35311N,35.254,77.308,4400,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Nubra,Glacier advance,Unknown,Unknown,,31270000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2002.0,exact,2002-06-06,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
435,2002,2002,6.0,29.0,Jialong Co,Jialong,GL085849E28212N,"2, 3, 4",G085834E28193N,28.213134,85.850819,4369,28.19297,85.92412,4075.0,Deposit,Moraine dammed,Y,Y,15_2,11,China,TAR,Poiqu,Unknown,Unknown,Moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Liu et al., 2014; Carrivick and Tweed, 2016; Nie et al., 2018)","Liu, J.-J., Cheng, Z.-L., Li, Y., 2014. The 1988 glacial lake outburst flood in Guangxieco Lake, Tibet, China. Natural Hazards and Earth System Sciences 14, 3065–3075; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Nie, Y., Liu, Q., Wang, J., Zhang, Y., Sheng, Y., Liu, S., 2018. An inventory of historical glacial lake outburst floods in the Himalayas based on remote sensing observations and geomorphological analysis. Geomorphology 308, 91–106. https://doi.org/10.1016/j.geomorph.2018.02.002",,,2002.0,exact,2002-06-29,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Moraine collapse'],1
436,2002,2002,7.0,15.0,Khurdopin,Khurdopin,Ephemeral,,G075206E36338N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,19000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)","Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,2002.0,exact,2002-07-15,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
437,2002,2002,8.0,2.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Glazirin, 2010)","Glazirin, G., 2010. A century of investigations on outbursts of the ice-dammed lake merzbacher (Central Tien Shan). Austrian Journal of Earth Sciences 103, 171–179.",,,2002.0,exact,2002-08-02,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
438,2002,2002,8.0,7.0,Shahdara,Dasht,GL071728E37219N,"2, 3, 4",G071729E37220N,37.22,71.729,4346,37.3,71.783,2600.0,Observation,Moraine dammed,N,N,13_2,6,Tajikistan,Gorno-Badakhshan,Shakhdara,Unknown,Unknown,Unknown,,320000.0,,,,25.0,,,,,,,,,,,,,75.0,,,,,,,,,"(Mergili et al., 2012; Narama et al., 2018)","Mergili, M., Kopf, C., Müllebner, B., Schneider, J.F., 2012. Changes of the Cryosphere and related geohazards in the high-mountain areas of Tajikistan and Austria: A comparison. Geografiska Annaler. https://doi.org/10.1111/j.1468-0459.2011.00450.x; Narama, C., Daiyrov, M., Duishonakunov, M., Tadono, T., Sato, H., Kääb, A., Ukita, J., Abdrakhmatov, K., 2018. Large drainages from short-lived glacial lakes in the Teskey Range, Tien Shan Mountains, Central Asia. Natural Hazards and Earth System Sciences 18, 983–995. https://doi.org/10.5194/nhess-18-983-2018",,Village Dasht largely destroyed,2002.0,exact,2002-08-07,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
439,2002,2002,8.0,9.0,Kyagar,Kyagar,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450.0,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,115190000.0,4610.0,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Carrivick and Tweed, 2016; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Huge flood recorded with peak lake volume by 08/09/2002 before flood 115.19x106 m3 with a lake area 2.93km2.,2002.0,exact,2002-08-09,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
440,2002,2002,,,Unnamed,Unnamed,GL085919E28139N,"2, 3, 4",G085919E28127N,28.14,85.92,4870,28.154774,85.920192,4560.0,Deposit,Moraine dammed,Y,N,15_2,11,China,TAR,Poiqu,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,"reporting by local villagers, documentation from satellite imagery",first Maxar imagery with evidence of GLOF from 2005,2002.0,exact,,,False,,False,,False,,False,,,,False,,True,True,['Unknown'],1,['Unknown'],1
